Feature,Normalized.Dispersion
ENSG00000237928,NaN
ENSG00000162604,-0.6680855138990516
ENSG00000271200,NaN
ENSG00000132849,2.3449985566136156
ENSG00000240563,NaN
ENSG00000132854,1.9037449533509034
ENSG00000162607,-2.051920171205975
ENSG00000116641,0.6134713854173632
ENSG00000235545,NaN
ENSG00000125703,-0.08786168677344976
ENSG00000224209,NaN
ENSG00000230798,-1.3464032205254284
ENSG00000187140,NaN
ENSG00000088035,1.8983259369490733
ENSG00000142856,-0.3762335199443015
ENSG00000203965,2.0330326645751913
ENSG00000116652,2.9209736103527146
ENSG00000079739,0.08774467670359377
ENSG00000185483,2.5364748066463307
ENSG00000223949,0.5262833755515395
ENSG00000158966,1.4676034729441434
