Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000149591,TAGLN,0.07270895600630287,0.48453971778942684,0.9723873570851563,0.01220865018864544,-2.4977004305241146,0.005823134382977303,0.06058886673823041,0.11192278588831783,1,0.14098542252341148,1.7926896551764528,0.004427169635609638,0.02277817653519201,-1.1611984900272265,1,0.01875851931614728,-1.5768858627601494,1,0.012163472639113364,-1.8826652263663473,0.7147761831870747
ENSG00000160613,PCSK7,0.008004655707115912,0.07918477190792128,1,0.004747808406695449,-0.7767504614634806,1,0.011220160507079706,0.696885286609473,1,0.00817306797237168,0.17279718018682377,1,0.011389088267596005,0.9189718586567563,1,0.007503407726458912,0.18812276858785992,1,0.012163472639113364,1.0177991000827378,0.9279214360190867
ENSG00000167257,RNF214,0.008004655707115912,-0.7508902266497666,0.9723873570851563,0.014243425220086346,0.25887344826724057,1,0.013464192608495648,0.18582089955685355,1,0.014302868951650439,0.27749455885351715,1,0.02277817653519201,1.0888968600990694,1,0.016882667384532552,0.5814651967673843,1,0.004054490879704455,-0.7191664940834679,1
ENSG00000186318,BACE1,0.004002327853557956,1.1860999758244342,0.9723873570851563,0.0033912917190681777,0.8438359489883966,1,0,-1.4215094141927587,1,0.00102163349654646,-0.48255464842573126,1,0,0.5039343593779133,1,0.001875851931614728,0.5182713702801909,1,0.004054490879704455,1.7022972743548088,1
ENSG00000278768,BACE1-AS,0,-0.4513299447908583,1,0.0006782583438136355,0.9958390424334453,1,0.002244032101415941,3.0703436821369188,1,0,0.32480027363187247,1,0,2.410824954986431,1,0,1.3256262923377946,1,0,2.5096521964124126,1
ENSG00000276505,AP000892.3,0.0006670546422596593,2.5486700552091417,0.9723873570851563,0,0.5808015431546014,1,0,1.485381181415761,1,0,1.3248002736318725,1,0,3.410824954986431,1,0,2.3256262923377946,1,0,3.5096521964124126,1
ENSG00000110274,CEP164,0.011339928918414208,-0.0627646568732052,1,0.01220865018864544,0.07384155443471929,1,0.011220160507079706,-0.00938351033381668,1,0.01123796846201106,-0.020974563209857244,1,0.0037963627558653345,-0.7389221645182502,1,0.00937925965807364,-0.15550039739882138,1,0.03649041791734009,1.8543003677998593,0.4786344465218448
ENSG00000250699,AP000892.1,0.0006670546422596593,1.5486700552091417,1,0,-0.004160957566554657,1,0,0.9004186806946048,1,0.00102163349654646,2.3248002736318725,1,0,2.825862454265275,1,0,1.7406637916166385,1,0,2.9246896956912565,1
ENSG00000177103,DSCAML1,0.0006670546422596593,-1.0362924455120144,1,0.0020347750314409067,0.2588734482672397,1,0.003366048152123912,1.1634530865284,1,0.00102163349654646,-0.2601622270892836,1,0.0037963627558653345,1.825862454265275,1,0.005627555794844184,2.0036981974504338,1,0,0.8092124782713199,1
ENSG00000270403,AP001554.1,0.0006670546422596593,2.5486700552091417,0.9723873570851563,0,0.5808015431546014,1,0,1.485381181415761,1,0,1.3248002736318725,1,0,3.410824954986431,1,0,2.3256262923377946,1,0,3.5096521964124126,1
