feature_call,num_cells,pct_cells,median_umis,stddev_umis
BRD4-1|H2AFY-2,1,0.0001771479185119575,187,0
BRD4-1|Non-Targeting-7|PPIB-1|SNRNP40-1|TMPRSS2-1,2,0.000354295837023915,369.5,52.5
BRD4-1|CDKN3-2|JUN-1,1,0.0001771479185119575,670,0
BRD4-1|ELOF1-2|HDAC1-1|PAIP2-2|PPIB-2,1,0.0001771479185119575,282,0
BRD4-1|EZR-1,1,0.0001771479185119575,219,0
BRD4-1|ELOF1-2,1,0.0001771479185119575,719,0
BRD4-1|CTNNB1-2|MBNL1-2,1,0.0001771479185119575,115,0
BRD4-1|SMARCD1-1,1,0.0001771479185119575,132,0
BRD4-1|TMPRSS2-1|UBE2N-2,1,0.0001771479185119575,409,0
BRD4-2,34,0.006023029229406555,355.0,258.38413404588835
BRD4-2|TMPRSS2-1,1,0.0001771479185119575,877,0
BRD4-2|Non-Targeting-5|PPIB-1,2,0.000354295837023915,510.5,73.5
BRD4-2|RBM25-2|SMARCD1-1,1,0.0001771479185119575,299,0
BRD4-2|CAMLG-1|Non-Targeting-7|PAIP2-2,1,0.0001771479185119575,320,0
BRD4-2|GRB2-2|RBBP4-2,1,0.0001771479185119575,179,0
BRD4-2|CSNK2A1-2,1,0.0001771479185119575,29,0
BRD4-2|EZH2-1|PPIB-1|RAB1A-2,1,0.0001771479185119575,1442,0
BRD4-2|PAIP2-2|PPP2CA-2,1,0.0001771479185119575,68,0
BRD4-2|SUZ12-2,1,0.0001771479185119575,196,0
BRD4-2|MBNL1-2|SMARCD1-2|SNRNP40-1,1,0.0001771479185119575,445,0
BRD4-2|Non-Targeting-8,2,0.000354295837023915,375.5,90.5
BRD4-2|SRPK1-2,1,0.0001771479185119575,298,0
BRD4-2|UBE2N-2,1,0.0001771479185119575,399,0
BRD4-2|CSNK2A1-2|TMPRSS2-1,1,0.0001771479185119575,57,0
BRD4-2|JUN-2|KDM1A-1,1,0.0001771479185119575,558,0
BRD4-2|Non-Targeting-5|RBM25-2|SMARCD1-1,1,0.0001771479185119575,568,0
BRD4-2|RBM25-2,1,0.0001771479185119575,770,0
BRD4-2|CTNNB1-2|KDM1A-2,1,0.0001771479185119575,1207,0
CAMLG-1|SRPK1-2,1,0.0001771479185119575,252,0
CAMLG-1,45,0.007971656333038087,50,77.54194723017287
CAMLG-1|UBE2N-2,2,0.000354295837023915,305.5,19.5
CAMLG-1|MBNL1-2,1,0.0001771479185119575,137,0
CAMLG-1|CDKN3-2,4,0.00070859167404783,285.0,209.9190320099633
CAMLG-1|DPP4-2|SRPK1-2,1,0.0001771479185119575,502,0
CAMLG-1|KDM1A-1,1,0.0001771479185119575,647,0
CAMLG-1|CSNK2A1-1,1,0.0001771479185119575,321,0
CAMLG-1|EZH2-1|JUN-1,1,0.0001771479185119575,1162,0
CAMLG-1|Non-Targeting-5|TPR-2,1,0.0001771479185119575,1226,0
CAMLG-1|ELOF1-1,1,0.0001771479185119575,1522,0
CAMLG-1|ELOF1-2|JUN-2|PAIP2-2,1,0.0001771479185119575,167,0
CAMLG-1|CTNNB1-1,1,0.0001771479185119575,284,0
CAMLG-1|UBE2N-1,1,0.0001771479185119575,191,0
CAMLG-1|JUN-2,1,0.0001771479185119575,151,0
CAMLG-1|CSNK2A1-2,1,0.0001771479185119575,107,0
CAMLG-1|SMARCD1-1,1,0.0001771479185119575,48,0
CAMLG-1|ELOF1-2|SMARCD1-1,1,0.0001771479185119575,469,0
CAMLG-1|GRB2-2|GSK3A-1|MBNL1-1,1,0.0001771479185119575,906,0
CAMLG-1|JUN-1|SNRNP40-1,1,0.0001771479185119575,307,0
CAMLG-1|CDKN3-1|ELOF1-2|JUN-2|PAIP2-2,1,0.0001771479185119575,287,0
CAMLG-1|CAMLG-2|RBBP4-1,1,0.0001771479185119575,364,0
CAMLG-1|CTNNB1-1|RBM25-2|TPR-1,1,0.0001771479185119575,1231,0
CAMLG-1|ELOF1-2,1,0.0001771479185119575,488,0
CAMLG-1|ELOF1-1|UBXN1-2,1,0.0001771479185119575,1006,0
CAMLG-1|GRB2-1,1,0.0001771479185119575,315,0
CAMLG-1|GRB2-2|Non-Targeting-7|SNRNP40-2,1,0.0001771479185119575,515,0
CAMLG-1|DPP4-1|Non-Targeting-7,1,0.0001771479185119575,942,0
CAMLG-2,22,0.0038972542072630645,328.0,242.37736099719987
CAMLG-2|MBNL1-1,1,0.0001771479185119575,137,0
CAMLG-2|EIF4EBP1-1,1,0.0001771479185119575,842,0
CAMLG-2|CSNK2A1-2|JUN-1|SET-2|SNRNP70-1|SUZ12-2,1,0.0001771479185119575,891,0
CAMLG-2|SRPK1-2|SUZ12-2,1,0.0001771479185119575,573,0
CAMLG-2|CSNK2A1-2|JUN-1|Non-Targeting-8|PAIP2-1|PAIP2-2,1,0.0001771479185119575,582,0
CAMLG-2|Non-Targeting-5|RAB1A-3|UBE2N-1,1,0.0001771479185119575,625,0
CAMLG-2|Non-Targeting-8,2,0.000354295837023915,631.5,273.5
CAMLG-2|TPR-1,1,0.0001771479185119575,131,0
CAMLG-2|GRB2-1,1,0.0001771479185119575,116,0
CAMLG-2|PPIB-2,1,0.0001771479185119575,189,0
CAMLG-2|EZR-1|JUN-1,1,0.0001771479185119575,1351,0
CAMLG-2|GSK3A-1|JUN-1|SET-1,1,0.0001771479185119575,311,0
CAMLG-2|RBBP4-2,1,0.0001771479185119575,201,0
CAMLG-2|HDAC1-1,1,0.0001771479185119575,119,0
CAMLG-2|GRB2-2,1,0.0001771479185119575,166,0
CAMLG-2|CTNNB1-1|Non-Targeting-7|PAIP2-1|SUZ12-2,1,0.0001771479185119575,2906,0
CDKN3-1|JUN-1,1,0.0001771479185119575,560,0
CDKN3-1|HDAC1-2|Non-Targeting-5|RBM25-2,1,0.0001771479185119575,531,0
CDKN3-1,36,0.006377325066430469,591.5,445.35853915139177
CDKN3-1|GSK3A-2,1,0.0001771479185119575,1007,0
CDKN3-1|Non-Targeting-8,1,0.0001771479185119575,1139,0
CDKN3-1|CDKN3-2,1,0.0001771479185119575,48,0
CDKN3-1|EZH2-1,1,0.0001771479185119575,2187,0
CDKN3-1|EZR-1,1,0.0001771479185119575,1080,0
CDKN3-1|H2AFY-2,1,0.0001771479185119575,1028,0
CDKN3-1|Non-Targeting-7,1,0.0001771479185119575,739,0
CDKN3-1|TRA2B-2,1,0.0001771479185119575,699,0
CDKN3-1|DPP4-1|EZR-1,1,0.0001771479185119575,1685,0
CDKN3-1|CTNNB1-1,1,0.0001771479185119575,1660,0
CDKN3-1|Non-Targeting-7|Non-Targeting-8,1,0.0001771479185119575,916,0
CDKN3-1|EIF4EBP1-1,1,0.0001771479185119575,382,0
CDKN3-2,51,0.009034543844109831,323,396.90367726603034
CDKN3-2|RBBP4-2,1,0.0001771479185119575,1157,0
CDKN3-2|CTNNB1-1|JUN-2,2,0.000354295837023915,833.5,88.5
CDKN3-2|JUN-2|Non-Targeting-7,1,0.0001771479185119575,1132,0
CDKN3-2|H2AFY-2,1,0.0001771479185119575,1124,0
CDKN3-2|EZR-1|PPP2CA-1,1,0.0001771479185119575,249,0
CDKN3-2|MORF4L1-2,1,0.0001771479185119575,225,0
CDKN3-2|EZR-2,1,0.0001771479185119575,569,0
CDKN3-2|Non-Targeting-5|TMPRSS2-1,1,0.0001771479185119575,448,0
CDKN3-2|GRB2-2,1,0.0001771479185119575,379,0
CDKN3-2|SET-2,2,0.000354295837023915,1380.5,226.5
CDKN3-2|UBXN1-1,1,0.0001771479185119575,320,0
CDKN3-2|NOC2L-2,2,0.000354295837023915,322.0,72.0
CDKN3-2|SRPK1-2,1,0.0001771479185119575,579,0
CDKN3-2|JUN-2,2,0.000354295837023915,92.0,38.0
