Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000160216,AGPAT3,0.01394813876544673,-0.5163141236339541,0.8449742904931591,0.02120096973911702,0.39560494150330516,1,0.01272266211250842,-0.5123890840372338,1,0.0331420806281141,1.06459387964113,0.42263415660366244
ENSG00000160218,TRAPPC10,0.0172027044773843,0.21131360595291593,1,0.014133979826078013,-0.21956439377995807,1,0.010905138953578647,-0.5372331550147118,1,0.027293478164329258,0.9714844752496496,0.4896226740310927
ENSG00000160221,GATD3A,0.00046493795884822435,0.7962761066740729,1,0.0004711326608692671,0.826239295833167,1,0,0.5349166307411224,1,0,1.8015594738073375,1
ENSG00000141959,PFKL,0.013483200806598506,0.4552391888390046,0.8970716366612504,0.010364918539123876,-0.1420518444394947,1,0.009087615794648871,-0.2535792640651655,1,0.009747670772974735,0.017288164862773847,1
ENSG00000160226,CFAP410,0.0023246897942411217,0.059310512507865454,1,0.0014133979826078014,-0.7587232048879891,1,0.0018175231589297744,0.004401914042343691,1,0.007798136618379788,2.249018450778558,0.4184407108603777
ENSG00000142185,TRPM2,0.0009298759176964487,0.7962761066740729,1,0,-1.4956887990541947,1,0.0018175231589297744,2.1198791314622785,1,0,1.06459387964113,1
ENSG00000230061,TRPM2-AS,0,-0.2037238933259271,1,0,-0.17376070416683298,1,0.0009087615794648872,3.1198791314622785,1,0,2.3865219745284936,1
ENSG00000160233,LRRC3,0.00046493795884822435,0.7962761066740729,1,0.0004711326608692671,0.826239295833167,1,0,0.5349166307411224,1,0,1.8015594738073375,1
ENSG00000175894,TSPEAR,0.00046493795884822435,1.796276106674073,0.8970716366612504,0,-0.17376070416683298,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000235890,TSPEAR-AS1,0.0009298759176964487,2.381238607395229,0.7081650828856005,0,-0.7587232048879891,1,0,0.5349166307411224,1,0,1.8015594738073375,1
ENSG00000182912,TSPEAR-AS2,0,-0.7886863940470832,1,0,-0.7587232048879891,1,0.0018175231589297744,3.7048416321834345,1,0,1.8015594738073375,1
ENSG00000184787,UBE2G2,0.01394813876544673,-0.5893775858236774,0.7536320850601681,0.022143235060855554,0.4112017965543231,1,0.01908399316876263,0.08745765376990189,1,0.023394409855139364,0.45760507258997496,0.9167744993445741
ENSG00000236519,LINC01424,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000184900,SUMO3,0.023711835901259443,0.4743480117867094,0.8438512720769749,0.020729837078247753,0.14816739072052965,1,0.017266470009832856,-0.15810561583748584,1,0.001949534154594947,-2.458968076415882,0.26806112548495187
ENSG00000183255,PTTG1IP,0.018597518353928973,-0.46088173282305167,0.8970716366612504,0.028739092313025294,0.5136490655251409,1,0.021810277907157293,-0.06915469292773757,1,0.023394409855139364,0.10968176916966854,1
ENSG00000160255,ITGB2,0.0009298759176964487,0.7962761066740729,1,0.0004711326608692671,-0.17376070416683298,1,0.0009087615794648872,1.1198791314622785,1,0,1.06459387964113,1
ENSG00000227039,ITGB2-AS1,0.00046493795884822435,0.21131360595291682,1,0,-1.173760704166833,1,0.0018175231589297744,2.7048416321834345,1,0,1.3865219745284936,1
ENSG00000273027,AL844908.2,0,-1.203723893325927,1,0,-1.173760704166833,1,0.0018175231589297744,2.7048416321834345,1,0.001949534154594947,2.8015594738073375,0.6614052337855577
ENSG00000183250,LINC01547,0.0009298759176964487,-0.2037238933259271,1,0.0018845306434770684,1.1481673907205288,1,0.0009087615794648872,0.31252420940467474,1,0,0.3865219745284936,1
ENSG00000160256,FAM207A,0.036730098749009725,0.28531418739669245,0.9482877198999367,0.03392155158258723,0.09720061743858999,1,0.02908037054287639,-0.16664362729388493,1,0.017545807391354525,-0.8151118866411569,0.746385809740773
ENSG00000276529,AP001505.1,0,-1.7886863940470832,0.7768556216249689,0.0009422653217385342,0.4112017965543231,1,0.0018175231589297744,1.7048416321834345,1,0.001949534154594947,2.06459387964113,0.810137195995279
ENSG00000197381,ADARB1,0.0018597518353928974,-1.274113221217326,0.6572538139950911,0.0070669899130390065,1.5043112009458053,1,0.0027262847383946616,-0.33955248717501796,1,0.003899068309189894,0.4479225191926366,1
ENSG00000186866,POFUT2,0.0023246897942411217,-0.6187613926047719,0.9263891968224051,0.004240193947823404,0.5632048899993736,1,0.003635046317859549,0.354344385099302,1,0.003899068309189894,0.7235569618060627,1
ENSG00000223768,LINC00205,0.00743900734157159,0.18329922978331936,1,0.006595857252169739,-0.07422503061591801,1,0.008178854215183985,0.3974131069911886,1,0.003899068309189894,-0.350443619637713,1
ENSG00000273796,BX322562.1,0,-0.7886863940470832,1,0.0009422653217385342,2.411201796554323,1,0,0.5349166307411224,1,0,1.8015594738073375,1
ENSG00000182871,COL18A1,0.01487801468314318,-0.7442922746886307,0.6171793863877358,0.023085500382594087,0.16631473743078917,1,0.01999275474822752,-0.08447936704390724,1,0.04678881971027873,1.3299384461621253,0.26806112548495187
ENSG00000173638,SLC19A1,0.007903945300419815,0.10822011298881229,1,0.008009255234777541,0.1381833021479073,1,0.00636133105625421,-0.16552308739996935,1,0.007798136618379788,0.3161326466370955,1
ENSG00000183570,PCBP3,0.00046493795884822435,0.21131360595291682,1,0.0004711326608692671,0.24127679511201094,1,0.0009087615794648872,1.5349166307411224,1,0,1.3865219745284936,1
ENSG00000142156,COL6A1,0.003719503670785795,-0.49323051052091227,1,0.005182459269561938,0.16327428311073788,1,0.00636133105625421,0.5963171754052663,1,0.005848602463784841,0.6316344723650245,1
ENSG00000142173,COL6A2,0.005579255506178693,1.1747877299278011,0.6469360954317662,0.0028267959652156028,-0.36640578210922925,1,0.0018175231589297744,-0.6170864627039272,1,0.001949534154594947,-0.005795448250267121,1
ENSG00000160285,LSS,0.0023246897942411217,-0.7886863940470841,0.8970716366612504,0.004240193947823404,0.3408124686629259,1,0.0027262847383946616,-0.20204896342508327,1,0.009747670772974735,1.8015594738073375,0.4332227696332068
ENSG00000223901,AP001469.1,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000215424,MCM3AP-AS1,0.0013948138765446732,-1.0110788153835326,0.8970716366612504,0.0028267959652156028,0.17416259925347433,1,0.0018175231589297744,-0.20204896342508327,1,0.009747670772974735,2.3865219745284936,0.30072657819198895
ENSG00000160294,MCM3AP,0.00743900734157159,-0.6081141484052628,0.8970716366612504,0.009422653217385342,-0.13899528600615607,1,0.010905138953578647,0.20560900548816363,1,0.023394409855139364,1.472251848554376,0.32756219873545334
ENSG00000239415,AP001469.3,0,-0.7886863940470832,1,0.0009422653217385342,2.411201796554323,1,0,0.5349166307411224,1,0,1.8015594738073375,1
ENSG00000182362,YBEY,0.013018262847750282,-0.07366335276155489,1,0.013191714504339478,-0.043700163602459874,1,0.017266470009832856,0.48761091596276707,1,0.009747670772974735,-0.27644303819393645,1
ENSG00000160298,C21orf58,0.008833821218116263,-0.37364889476824015,1,0.011778316521731677,0.24127679511201094,1,0.004543807897324436,-1.1778014171784061,1,0.027293478164329258,1.649556380362287,0.23350875219432476
ENSG00000160299,PCNT,0.005579255506178693,-0.9295489298869342,0.607053963965005,0.012720581843470212,0.8262392958331679,1,0.00636133105625421,-0.4650833692588767,1,0.015596273236759576,1.0018581242931681,0.562476527317977
ENSG00000160305,DIP2A,0.006974069382723365,-0.7886863940470841,0.7189395075089728,0.011778316521731677,0.27875150053067443,1,0.009087615794648871,-0.14860970446362298,1,0.023394409855139364,1.4145363506980893,0.3484603774906253
ENSG00000223692,DIP2A-IT1,0.00046493795884822435,1.796276106674073,0.8970716366612504,0,-0.17376070416683298,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000160307,S100B,0,-0.2037238933259271,1,0,-0.17376070416683298,1,0.0009087615794648872,3.1198791314622785,1,0,2.3865219745284936,1
ENSG00000160310,PRMT2,0.011623448971205609,-1.1031970173719632,0.2846994598473462,0.029681357634763827,0.9435962464713255,1,0.024536562645551954,0.35737844518893613,1,0.011697204927569682,-0.6641040985414755,0.9482705392057722
ENSG00000225255,AP000527.1,0.00046493795884822435,0.21131360595291682,1,0.0004711326608692671,0.24127679511201094,1,0,0.11987913146227847,1,0.001949534154594947,2.8015594738073375,0.6533865815504343
