Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000170477,KRT4,0,-1.78013358085596,0.9858496980905215,0.003216034753687641,1.4140469773158912,1,0.0025647092501876823,1.1247128507547082,1,0,0.9185392964514243,1,0,-1.0534713657259545,1,0.001833345165857182,0.9673579033472688,1,0.004208407228107175,1.9215668090530809,1,0.0041834624584274355,2.234658830346346,0.9675893742547252,0,8.707641605284962,1
ENSG00000170421,KRT8,1.0213072641876249,0.0950078087596197,1,0.8417970967777401,-0.25754521275924164,1,1.3669900303500346,0.584454359854133,1,0.5125901106711338,-0.9499128529680796,1,0.8042980271230936,-0.31848103186066773,1,1.127507277002167,0.23809471652241482,1,1.193083449168384,0.32479960741929914,1,0.44344702059330815,-1.157016395653108,1,0,-0.3149784051116527,1
ENSG00000111057,KRT18,2.0526133407519116,0.102555088042665,1,1.84359192255144,-0.09753582671542471,1,2.8429802038330454,0.6521352303284254,1,1.1588993806477808,-0.7752128152756728,1,1.4854345720635562,-0.45202074221622857,1,1.9561792919696133,0.008046203035582566,1,2.2367684417389633,0.21932033420635755,1,0.9872971401888748,-1.0076831803343465,1,0,-1.315986753949409,1
ENSG00000063046,EIF4B,0.06927748575258715,-0.2256283709466671,1,0.08442091228430057,0.13955422522628114,1,0.08078834138091198,0.062216925020944114,1,0.08543168511185563,0.17829857025235585,1,0.08139367518156473,0.07283395141911742,1,0.09533394862457346,0.330705925614613,1,0.07364712649187555,-0.06837952628299604,1,0.050201549501129226,-0.5631523190403871,1,0,3.3090922287946873,1
ENSG00000257475,AC068888.2,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0.0037144210918198103,5.377970915088721,0.9485081834852135,0,1.4059602529113437,1,0,2.2892859982346323,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000257337,AC068888.1,0.012141415028803932,0.5638208203614017,1,0.011256121637906744,0.41404697731589124,1,0.008976482375656887,0.09496550736065679,1,0.0037144210918198103,-0.40338879843593833,1,0.008567755282269971,-0.00907724636750018,1,0.005500035497571546,-0.43863445632856646,1,0.00841681445621435,0.12801768652050782,1,0.0041834624584274355,-0.2247727882909505,1,0,6.359718301864656,1
ENSG00000111077,TNS2,0.005713607072378321,0.3897914205863531,1,0.012060130326328654,1.9925832088776145,0.9101442782514502,0,-2.1972152441326536,1,0,-0.5289196805197971,1,0.0021419388205674928,-0.8164321684251048,1,0.001833345165857182,-0.5686949968929405,1,0.006312610842160762,0.7516418076107687,1,0,-0.35030367037480925,1,0,7.260182628313742,1
ENSG00000167778,SPRYD3,0.004999406188331031,0.28698061500257754,1,0.006432069507375282,0.7474707110410828,1,0,-2.0976795705817395,1,0,-0.429384006968883,1,0.008567755282269971,1.2539571594662942,1,0,-1.5180689238229723,1,0.00841681445621435,1.2434949039404435,1,0,-0.25076799682389517,1,0,7.359718301864656,1
ENSG00000167779,IGFBP6,0.05356506630354676,0.7374009923449059,0.819457136854907,0.0313563388484545,-0.2863927408252005,1,0.03718828412772139,0.031603446363225984,1,0.014857684367279241,-1.0616522224683962,1,0.024632296436526167,-0.6384338664471096,1,0.04400028398057237,0.3110903685529802,1,0.0483966831232325,0.46213519041578355,1,0.012550387375282307,-1.2115973995432174,1,0,4.379170664530829,1
ENSG00000167780,SOAT2,0.0007142008840472901,1.6792980377813365,1,0,0.31451130376497716,1,0,1.1247128507547082,1,0,2.7930084143675646,1,0,0.8209977521901877,1,0,1.7043234975134762,1,0.0021042036140535873,3.506529309774237,1,0,2.9716244245125534,1,0,10.582110723201103,1
